"disasterNumber","disasterName","stateName","declarationType","declarationRequestDate","declarationDate","daysToDecision"
"3624","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, AND LANDSLIDES","Kentucky","Emergency","2025-02-14","2025-02-15","1"
"3625","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","Tennessee","Emergency","2025-04-01","2025-04-01","0"
"3626","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","Kentucky","Emergency","2025-04-02","2025-04-02","0"
"3627","SEVERE STORMS, TORNADOES, AND FLOODING","Arkansas","Emergency","2025-04-03","2025-04-04","1"
"3628","SEVERE STORMS, FLOODING, AND LANDSLIDES","New Mexico","Emergency","2025-07-07","2025-07-09","2"
"3629","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","Washington","Emergency","2025-12-09","2025-12-11","2"
"3630","SEVERE STORMS AND FLOODING","Montana","Emergency","2025-12-15","2025-12-18","3"
"3631","SEVERE WINTER STORM","Virginia","Emergency","2026-01-21","2026-01-22","1"
"3632","SEVERE WINTER STORM","South Carolina","Emergency","2026-01-22","2026-01-22","0"
"3633","SEVERE WINTER STORM","Kentucky","Emergency","2026-01-22","2026-01-23","1"
"3634","SEVERE WINTER STORM","Maryland","Emergency","2026-01-22","2026-01-23","1"
"3635","SEVERE WINTER STORM","Tennessee","Emergency","2026-01-22","2026-01-23","1"
"3636","SEVERE WINTER STORM","Arkansas","Emergency","2026-01-22","2026-01-23","1"
"3637","SEVERE WINTER STORM","North Carolina","Emergency","2026-01-22","2026-01-23","1"
"3638","SEVERE WINTER STORM","Louisiana","Emergency","2026-01-22","2026-01-23","1"
"3639","SEVERE WINTER STORM","West Virginia","Emergency","2026-01-22","2026-01-23","1"
"3640","SEVERE WINTER STORM","Mississippi","Emergency","2026-01-22","2026-01-23","1"
"3641","SEVERE WINTER STORM","Indiana","Emergency","2026-01-22","2026-01-23","1"
"3642","SEVERE WINTER STORM","Georgia","Emergency","2026-01-23","2026-01-23","0"
"4853","SEVERE STORM AND FLOODING","Alaska","Major Disaster","2024-11-03","2024-12-31","58"
"4854","WILDFIRES","Oregon","Major Disaster","2024-10-20","2024-12-31","71"
"4855","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","Missouri","Major Disaster","2024-11-25","2024-12-31","36"
"4856","WILDFIRES AND STRAIGHT-LINE WINDS","California","Major Disaster","2025-01-07","2025-01-07","0"
"4857","SEVERE STORM AND FLOODING","Alaska","Major Disaster","2024-11-03","2025-01-09","67"
"4858","SEVERE STORMS AND FLOODING","South Carolina","Major Disaster","2024-12-12","2025-01-09","28"
"4859","SEVERE STORM AND FLOODING","Alaska","Major Disaster","2024-12-15","2025-01-14","30"
"4860","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","Kentucky","Major Disaster","2025-02-16","2025-02-23","7"
"4861","SEVERE STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","West Virginia","Major Disaster","2025-02-16","2025-02-25","9"
"4862","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","Oklahoma","Major Disaster","2024-12-19","2025-03-17","88"
"4863","SEVERE WINTER STORMS AND FLOODING","Virginia","Major Disaster","2025-02-15","2025-04-03","47"
"4864","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES","Kentucky","Major Disaster","2025-04-10","2025-04-23","13"
"4865","SEVERE STORMS AND TORNADOES","Arkansas","Major Disaster","2025-03-20","2025-05-07","48"
"4866","WILDFIRES AND STRAIGHT-LINE WINDS","Oklahoma","Major Disaster","2025-03-20","2025-05-20","61"
"4867","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND WILDFIRES","Missouri","Major Disaster","2025-04-01","2025-05-20","49"
"4868","SEVERE WINTER STORM AND STRAIGHT-LINE WINDS","Nebraska","Major Disaster","2025-04-10","2025-05-20","40"
"4869","SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, AND WILDFIRES","Kansas","Major Disaster","2025-04-13","2025-05-20","37"
"4870","SEVERE WINTER STORM","Iowa","Major Disaster","2025-04-14","2025-05-20","36"
"4871","SEVERE STORMS AND FLOODING","Texas","Major Disaster","2025-04-16","2025-05-20","34"
"4872","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","Missouri","Major Disaster","2025-04-29","2025-05-20","21"
"4873","SEVERE STORMS, TORNADOES, AND FLOODING","Arkansas","Major Disaster","2025-05-02","2025-05-20","18"
"4874","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","Mississippi","Major Disaster","2025-03-31","2025-05-20","50"
"4875","SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES","Kentucky","Major Disaster","2025-05-19","2025-05-22","3"
"4876","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","Missouri","Major Disaster","2025-05-18","2025-06-08","21"
"4877","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","Missouri","Major Disaster","2025-05-24","2025-06-08","15"
"4878","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","Tennessee","Major Disaster","2025-04-16","2025-06-18","63"
"4879","SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING","Texas","Major Disaster","2025-07-04","2025-07-05","1"
"4880","SEVERE WINTER STORM","Michigan","Major Disaster","2025-05-15","2025-07-21","67"
"4881","SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES","Oregon","Major Disaster","2025-05-18","2025-07-21","64"
"4882","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","Indiana","Major Disaster","2025-05-27","2025-07-21","55"
"4883","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","Kansas","Major Disaster","2025-06-16","2025-07-21","35"
"4884","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","West Virginia","Major Disaster","2025-06-19","2025-07-21","32"
"4885","SEVERE STORMS AND FLOODING","Missouri","Major Disaster","2025-06-20","2025-07-21","31"
"4886","SEVERE STORMS, FLOODING, AND LANDSLIDES","New Mexico","Major Disaster","2025-07-07","2025-07-21","14"
"4887","SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING","Montana","Major Disaster","2025-07-16","2025-09-10","56"
"4888","SEVERE STORM, TORNADOES, AND STRAIGHT-LINE WINDS","North Dakota","Major Disaster","2025-07-20","2025-09-10","52"
"4889","TROPICAL DEPRESSION CHANTAL","North Carolina","Major Disaster","2025-08-04","2025-09-10","37"
"4890","SEVERE STORM AND FLOODING","South Dakota","Major Disaster","2025-08-04","2025-09-10","37"
"4891","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","Kansas","Major Disaster","2025-08-04","2025-09-10","37"
"4892","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, AND MUDSLIDES","Wisconsin","Major Disaster","2025-08-26","2025-09-10","15"
"4893","SEVERE STORMS, FLOODING, AND REMNANTS OF TYPHOON HALONG","Alaska","Major Disaster","2025-10-15","2025-10-21","6"
"4894","SEVERE STORMS AND STRAIGHT-LINE WINDS","Minnesota","Major Disaster","2025-08-18","2025-10-21","64"
"4895","SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES","North Dakota","Major Disaster","2025-09-03","2025-10-21","48"
"4896","SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING","Nebraska","Major Disaster","2025-09-03","2025-10-21","48"
"4897","SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING","Kansas","Major Disaster","2025-09-16","2025-12-18","92"
"4898","SEVERE WINTER STORM","Tennessee","Major Disaster","2026-01-27","2026-02-05","9"
"4899","SEVERE WINTER STORM","Mississippi","Major Disaster","2026-02-02","2026-02-05","3"
